State,County name,FIPS County Code,Urban Rural Code,Deaths involving COVID-19,Deaths from All Causes
NC,Lincoln County,37109,Large fringe metro,94.00,871.00
NC,McDowell County,37111,Micropolitan,39.00,434.00
NC,Macon County,37113,Noncore,40.00,504.00
NC,Madison County,37115,Medium metro,27.00,219.00
NC,Martin County,37117,Noncore,14.00,279.00
NC,Mecklenburg County,37119,Large central metro,1361.00,11046.00
NC,Mitchell County,37121,Noncore,32.00,271.00
NC,Montgomery County,37123,Noncore,17.00,270.00
NC,Moore County,37125,Micropolitan,348.00,2196.00
NC,Nash County,37127,Small metro,204.00,1540.00
NC,New Hanover County,37129,Medium metro,286.00,4060.00
NC,Northampton County,37131,Micropolitan,12.00,216.00
NC,Onslow County,37133,Small metro,109.00,1383.00
NC,Orange County,37135,Medium metro,278.00,2154.00
NC,Pasquotank County,37139,Micropolitan,124.00,750.00
NC,Pender County,37141,Medium metro,23.00,497.00
NC,Person County,37145,Medium metro,41.00,463.00
NC,Pitt County,37147,Small metro,362.00,3405.00
NC,Polk County,37149,Noncore,15.00,215.00
NC,Randolph County,37151,Medium metro,119.00,1644.00
NC,Richmond County,37153,Micropolitan,67.00,638.00
NC,Robeson County,37155,Micropolitan,194.00,1951.00
NC,Rockingham County,37157,Medium metro,105.00,1437.00
NC,Rowan County,37159,Large fringe metro,281.00,2203.00
NC,Rutherford County,37161,Micropolitan,140.00,1045.00
NC,Sampson County,37163,Noncore,44.00,586.00
NC,Scotland County,37165,Micropolitan,140.00,776.00
NC,Stanly County,37167,Micropolitan,65.00,749.00
NC,Stokes County,37169,Medium metro,26.00,526.00
NC,Surry County,37171,Micropolitan,153.00,1347.00
NC,Transylvania County,37175,Micropolitan,18.00,419.00
NC,Union County,37179,Large fringe metro,214.00,1910.00
NC,Vance County,37181,Micropolitan,100.00,728.00
NC,Wake County,37183,Large central metro,999.00,9814.00
NC,Washington County,37187,Noncore,16.00,175.00
NC,Watauga County,37189,Micropolitan,51.00,524.00
NC,Wayne County,37191,Small metro,247.00,2134.00
NC,Wilkes County,37193,Micropolitan,86.00,860.00
NC,Wilson County,37195,Micropolitan,157.00,1147.00
NC,Yancey County,37199,Noncore,19.00,202.00
ND,Adams County,38001,Noncore,15.00,77.00
ND,Barnes County,38003,Noncore,27.00,210.00
ND,Bottineau County,38009,Noncore,13.00,67.00
ND,Burleigh County,38015,Small metro,300.00,2052.00
ND,Cass County,38017,Small metro,560.00,3675.00
ND,Dickey County,38021,Noncore,28.00,114.00
ND,Foster County,38031,Noncore,18.00,69.00
ND,Grand Forks County,38035,Small metro,135.00,1123.00
ND,Grant County,38037,Noncore,10.00,49.00
ND,LaMoure County,38045,Noncore,13.00,54.00
ND,McHenry County,38049,Micropolitan,17.00,97.00
ND,McLean County,38055,Noncore,25.00,165.00
ND,Morton County,38059,Small metro,45.00,437.00
ND,Nelson County,38063,Noncore,16.00,82.00
ND,Pembina County,38067,Noncore,10.00,92.00
ND,Pierce County,38069,Noncore,27.00,90.00
ND,Ramsey County,38071,Noncore,21.00,189.00
ND,Ransom County,38073,Noncore,17.00,120.00
ND,Renville County,38075,Micropolitan,10.00,33.00
ND,Stark County,38089,Micropolitan,45.00,371.00
ND,Stutsman County,38093,Micropolitan,69.00,361.00
ND,Traill County,38097,Noncore,14.00,158.00
ND,Walsh County,38099,Noncore,17.00,176.00
ND,Ward County,38101,Micropolitan,227.00,1251.00
ND,Williams County,38105,Micropolitan,20.00,269.00
NE,Adams County,31001,Micropolitan,67.00,550.00
NE,Box Butte County,31013,Noncore,11.00,152.00
NE,Buffalo County,31019,Micropolitan,136.00,926.00
